#1	
double load(8760,3) # P(kW) & Q (kvar)	
1818000, 0.736930656, 0.2947722624
1821600, 0.674722224, 0.2698888896
1825200, 0.660366432, 0.2641465728
1828800, 0.68190012, 0.272760048
1832400, 0.720182232, 0.2880728928
1836000, 0.900825948, 0.3603303792
1839600, 1.20827916, 0.483311664
1843200, 1.39968972, 0.559875888
1846800, 1.362603924, 0.5450415696
1850400, 1.380548664, 0.5522194656
1854000, 1.378156032, 0.5512624128
1857600, 1.42361604, 0.569446416
1861200, 1.254935484, 0.5019741936
1864800, 1.158033888, 0.4632135552
1868400, 1.05275808, 0.421103232
1872000, 1.077880716, 0.4311522864
1875600, 1.263309696, 0.5053238784
1879200, 1.6748424, 0.66993696
1882800, 1.969136136, 0.7876544544
1886400, 1.900946124, 0.7603784496
1890000, 1.68082398, 0.672329592
1893600, 1.305180756, 0.5220723024
1897200, 1.013279652, 0.4053118608
1900800, 0.828247464, 0.3312989856
1904400, 0.719813952, 0.2879255808
1908000, 0.679439772, 0.2717759088
1911600, 0.6632901, 0.26531604
1915200, 0.688668156, 0.2754672624
1918800, 0.724428144, 0.2897712576
1922400, 0.902074536, 0.3608298144
1926000, 1.213532496, 0.4854129984
1929600, 1.347344064, 0.5389376256
1933200, 1.278131184, 0.5112524736
1936800, 1.210071852, 0.4840287408
1940400, 1.266595704, 0.5066382816
1944000, 1.365800832, 0.5463203328
1947600, 1.185847344, 0.4743389376
1951200, 1.092409956, 0.4369639824
1954800, 0.981669348, 0.3926677392
1958400, 1.023197076, 0.4092788304
1962000, 1.221607332, 0.4886429328
1965600, 1.582667856, 0.6330671424
1969200, 1.905661296, 0.7622645184
1972800, 1.852598088, 0.7410392352
1976400, 1.657648476, 0.6630593904
1980000, 1.321966008, 0.5287864032
1983600, 1.012815144, 0.4051260576
1987200, 0.839336256, 0.3357345024
1990800, 0.73062, 0.292248
1994400, 0.68970528, 0.275882112
1998000, 0.66632544, 0.266530176
2001600, 0.685029312, 0.2740117248
2005200, 0.725944032, 0.2903776128
2008800, 0.89427888, 0.357711552
2012400, 1.201723776, 0.4806895104
2016000, 1.296412128, 0.5185648512
2019600, 1.299919104, 0.5199676416
2023200, 1.208737728, 0.4834950912
2026800, 1.27420128, 0.509680512
2030400, 1.394607456, 0.5578429824
2034000, 1.249652448, 0.4998609792
2037600, 1.144443168, 0.4577772672
2041200, 1.036895904, 0.4147583616
2044800, 1.035726912, 0.4142907648
2048400, 1.219258656, 0.4877034624
2052000, 1.574632224, 0.6298528896
2055600, 1.927667808, 0.7710671232
2059200, 1.877401152, 0.7509604608
2062800, 1.685686464, 0.6742745856
2066400, 1.3443408, 0.53773632
2070000, 1.055599776, 0.4222399104
2073600, 0.8501922, 0.34007688
2077200, 0.7424703, 0.29698812
2080800, 0.6903468, 0.27613872
2084400, 0.6741306, 0.26965224
2088000, 0.7019298, 0.28077192
2091600, 0.7332039, 0.29328156
2095200, 0.92664, 0.370656
2098800, 1.2648636, 0.50594544
2102400, 1.343628, 0.5374512
2106000, 1.2301146, 0.49204584
2109600, 1.1803077, 0.47212308
2113200, 1.239381, 0.4957524
2116800, 1.2949794, 0.51799176
2120400, 1.2023154, 0.48092616
2124000, 1.0876437, 0.43505748
2127600, 0.9718137, 0.38872548
2131200, 1.0030878, 0.40123512
2134800, 1.1918907, 0.47675628
2138400, 1.62162, 0.648648
2142000, 1.9274112, 0.77096448
2145600, 1.8810792, 0.75243168
2149200, 1.6656354, 0.66625416
2152800, 1.3285701, 0.53142804
2156400, 1.0250955, 0.4100382
2160000, 0.814794552, 0.3259178208
2163600, 0.71381574, 0.285526296
2167200, 0.676674108, 0.2706696432
2170800, 0.663906672, 0.2655626688
2174400, 0.694084248, 0.2776336992
2178000, 0.73122588, 0.292490352
2181600, 0.896041872, 0.3584167488
2185200, 1.2187098, 0.48748392
2188800, 1.360312272, 0.5441249088
2192400, 1.275582924, 0.5102331696
2196000, 1.227995208, 0.4911980832
2199600, 1.257012108, 0.5028048432
2203200, 1.315045908, 0.5260183632
2206800, 1.219870476, 0.4879481904
2210400, 1.161836676, 0.4647346704
2214000, 1.055054484, 0.4220217936
2217600, 1.071303948, 0.4285215792
2221200, 1.211745744, 0.4846982976
2224800, 1.554145164, 0.6216580656
2228400, 1.879134444, 0.7516537776
2232000, 1.818779292, 0.7275117168
2235600, 1.631910456, 0.6527641824
2239200, 1.316206584, 0.5264826336
2242800, 1.077107328, 0.4308429312
2246400, 0.886131576, 0.3544526304
2250000, 0.782526096, 0.3130104384
2253600, 0.709392816, 0.2837571264
2257200, 0.68867172, 0.275468688
2260800, 0.697203936, 0.2788815744
2264400, 0.730113912, 0.2920455648
2268000, 0.7922772, 0.31691088
2271600, 0.976329288, 0.3905317152
2275200, 1.300553496, 0.5202213984
2278800, 1.42000452, 0.568001808
2282400, 1.38343788, 0.553375152
2286000, 1.452914496, 0.5811657984
2289600, 1.56627108, 0.626508432
2293200, 1.4626656, 0.58506624
2296800, 1.355403456, 0.5421613824
2300400, 1.214012448, 0.4856049792
2304000, 1.187196912, 0.4748787648
2307600, 1.29811572, 0.519246288
2311200, 1.60283772, 0.641135088
2314800, 1.85270976, 0.741083904
2318400, 1.81004868, 0.724019472
2322000, 1.59674328, 0.638697312
2325600, 1.338339024, 0.5353356096
2329200, 1.122595848, 0.4490383392
2332800, 0.94697856, 0.378791424
2336400, 0.84119904, 0.336479616
2340000, 0.75934584, 0.303738336
2343600, 0.7177896, 0.28711584
2347200, 0.71653032, 0.286612128
2350800, 0.72660456, 0.290641824
2354400, 0.76312368, 0.305249472
2358000, 0.87142176, 0.348568704
2361600, 1.14090768, 0.456363072
2365200, 1.385208, 0.5540832
2368800, 1.58795208, 0.635180832
2372400, 1.7441028, 0.69764112
2376000, 1.78314048, 0.713256192
2379600, 1.51995096, 0.607980384
2383200, 1.39654152, 0.558616608
2386800, 1.2655764, 0.50623056
2390400, 1.21016808, 0.484067232
2394000, 1.35120744, 0.540482976
2397600, 1.66099032, 0.664396128
2401200, 1.90529064, 0.762116256
2404800, 1.86751224, 0.747004896
2408400, 1.65973104, 0.663892416
2412000, 1.3159476, 0.52637904
2415600, 1.0829808, 0.43319232
2419200, 0.84032547, 0.336130188
2422800, 0.731438226, 0.2925752904
2426400, 0.671076819, 0.2684307276
2430000, 0.659241249, 0.2636964996
2433600, 0.681728832, 0.2726915328
2437200, 0.719602656, 0.2878410624
2440800, 0.898319763, 0.3593279052
2444400, 1.198943241, 0.4795772964
2448000, 1.378843905, 0.551537562
2451600, 1.346887866, 0.5387551464
2455200, 1.377660348, 0.5510641392
2458800, 1.364641221, 0.5458564884
2462400, 1.419084843, 0.5676339372
2466000, 1.249836192, 0.4999344768
2469600, 1.152784518, 0.4611138072
2473200, 1.037979489, 0.4151917956
2476800, 1.058099958, 0.4232399832
2480400, 1.21906371, 0.487625484
2484000, 1.642777116, 0.6571108464
2487600, 1.945767708, 0.7783070832
2491200, 1.873570731, 0.7494282924
2494800, 1.6569798, 0.66279192
2498400, 1.284159345, 0.513663738
2502000, 1.003656336, 0.4014625344
2505600, 0.818632008, 0.3274528032
2509200, 0.713737656, 0.2854950624
2512800, 0.670411728, 0.2681646912
2516400, 0.6555897, 0.26223588
2520000, 0.680673132, 0.2722692528
2523600, 0.717158124, 0.2868632496
2527200, 0.888181524, 0.3552726096
2530800, 1.1971638, 0.47886552
2534400, 1.324861272, 0.5299445088
2538000, 1.264433004, 0.5057732016
2541600, 1.215406296, 0.4861625184
2545200, 1.25987238, 0.503948952
2548800, 1.35108486, 0.540433944
2552400, 1.181201616, 0.4724806464
2556000, 1.084288356, 0.4337153424
2559600, 0.97483338, 0.389933352
2563200, 1.006757748, 0.4027030992
2566800, 1.181201616, 0.4724806464
2570400, 1.542631068, 0.6170524272
2574000, 1.873276308, 0.7493105232
2577600, 1.832230692, 0.7328922768
2581200, 1.638404172, 0.6553616688
2584800, 1.306618776, 0.5226475104
2588400, 1.010178216, 0.4040712864
2592000, 0.82536972, 0.330147888
2595600, 0.72191112, 0.288764448
2599200, 0.68052768, 0.272211072
2602800, 0.65868642, 0.263474568
2606400, 0.6724809, 0.26899236
2610000, 0.71501388, 0.286005552
2613600, 0.88284672, 0.353138688
2617200, 1.17942804, 0.471771216
2620800, 1.2587463, 0.50349852
2624400, 1.2759894, 0.51039576
2628000, 1.20816654, 0.483266616
2631600, 1.264494, 0.5057976
2635200, 1.36335444, 0.545341776
2638800, 1.21966194, 0.487864776
2642400, 1.13689506, 0.454758024
2646000, 1.01274474, 0.405097896
2649600, 1.0173429, 0.40693716
2653200, 1.17368034, 0.469472136
2656800, 1.53118728, 0.612474912
2660400, 1.9024887, 0.76099548
2664000, 1.84960986, 0.739843944
2667600, 1.66338438, 0.665353752
2671200, 1.321971, 0.5287884
2674800, 1.0460814, 0.41843256
2678400, 0.841435128, 0.3365740512
2682000, 0.737680932, 0.2950723728
2685600, 0.6840936, 0.27363744
2689200, 0.669271572, 0.2677086288
2692800, 0.692074692, 0.2768298768
2696400, 0.722858904, 0.2891435616
2700000, 0.908704332, 0.3634817328
2703600, 1.241629884, 0.4966519536
2707200, 1.313459712, 0.5253838848
2710800, 1.213125984, 0.4852503936
2714400, 1.176640992, 0.4706563968
2718000, 1.23136848, 0.492547392
2721600, 1.280395188, 0.5121580752
2725200, 1.19146302, 0.476585208
2728800, 1.06604586, 0.426418344
2732400, 0.956590884, 0.3826363536
2736000, 0.978253848, 0.3913015392
2739600, 1.149277248, 0.4597108992
2743200, 1.57911606, 0.631646424
